date,Jetblue,Motel6,Jetblue_pred,Motel6_pred
2020-03-01 00:00:00 UTC,26207,54122,,
2020-03-02 00:00:00 UTC,39308,42898,,
2020-03-03 00:00:00 UTC,39641,50568,,
2020-03-04 00:00:00 UTC,39220,58773,,
2020-03-05 00:00:00 UTC,40445,41136,,
2020-03-06 00:00:00 UTC,37158,37949,,
2020-03-07 00:00:00 UTC,25314,31256,,
2020-03-08 00:00:00 UTC,27007,48921,,
2020-03-09 00:00:00 UTC,47664,50235,,
2020-03-10 00:00:00 UTC,63717,64992,,
2020-03-11 00:00:00 UTC,61033,65020,,
2020-03-12 00:00:00 UTC,86903,63163,,
2020-03-13 00:00:00 UTC,69753,63163,,
2020-03-14 00:00:00 UTC,48724,61968,,
2020-03-15 00:00:00 UTC,46819,56716,,
2020-03-16 00:00:00 UTC,64588,65072,,
2020-03-17 00:00:00 UTC,47189,56598,,
2020-03-18 00:00:00 UTC,40235,64476,,
2020-03-19 00:00:00 UTC,32438,56395,,
2020-03-20 00:00:00 UTC,26984,38420,,
2020-03-21 00:00:00 UTC,17658,45101,,
2020-03-22 00:00:00 UTC,16004,22514,,
2020-03-23 00:00:00 UTC,22256,50401,,
2020-03-24 00:00:00 UTC,23211,62340,,
2020-03-25 00:00:00 UTC,19577,50228,,
2020-03-26 00:00:00 UTC,17402,55194,,
2020-03-27 00:00:00 UTC,15031,28743,,
2020-03-28 00:00:00 UTC,13755,41268,,
2020-03-29 00:00:00 UTC,10680,60909,,
2020-03-30 00:00:00 UTC,17928,48749,,
2020-03-31 00:00:00 UTC,13713,39382,,
2020-04-01 00:00:00 UTC,12829,30929,,
2020-04-02 00:00:00 UTC,12498,27028,,
2020-04-03 00:00:00 UTC,10239,62875,,
2020-04-04 00:00:00 UTC,6535,30120,,
2020-04-05 00:00:00 UTC,9269,29359,,
2020-04-06 00:00:00 UTC,13944,21400,,
2020-04-07 00:00:00 UTC,9955,34973,,
2020-04-08 00:00:00 UTC,10435,36109,,
2020-04-09 00:00:00 UTC,8606,18963,,
2020-04-10 00:00:00 UTC,7478,38698,,
2020-04-11 00:00:00 UTC,4929,10638,,
2020-04-12 00:00:00 UTC,4241,12924,,
2020-04-13 00:00:00 UTC,8754,32222,,
2020-04-14 00:00:00 UTC,9898,17421,,
2020-04-15 00:00:00 UTC,7827,14787,,
2020-04-16 00:00:00 UTC,8208,32934,,
2020-04-17 00:00:00 UTC,7499,54306,,
2020-04-18 00:00:00 UTC,6113,6625,,
2020-04-19 00:00:00 UTC,5380,23104,,
2020-04-20 00:00:00 UTC,8034,57683,,
2020-04-21 00:00:00 UTC,8238,15135,,
2020-04-22 00:00:00 UTC,9428,61422,,
2020-04-23 00:00:00 UTC,10791,55729,,
2020-04-24 00:00:00 UTC,7614,39094,,
2020-04-25 00:00:00 UTC,4862,32223,,
2020-04-26 00:00:00 UTC,5683,33602,,
2020-04-27 00:00:00 UTC,8837,41861,,
2020-04-28 00:00:00 UTC,9713,50324,,
2020-04-29 00:00:00 UTC,8287,14081,,
2020-04-30 00:00:00 UTC,8319,26964,,
2020-05-01 00:00:00 UTC,7971,47909,,
2020-05-02 00:00:00 UTC,4912,40975,,
2020-05-03 00:00:00 UTC,5380,37285,,
2020-05-04 00:00:00 UTC,8865,29812,,
2020-05-05 00:00:00 UTC,8105,55194,,
2020-05-06 00:00:00 UTC,8351,47852,,
2020-05-07 00:00:00 UTC,7535,50533,,
2020-05-08 00:00:00 UTC,6866,39996,,
2020-05-09 00:00:00 UTC,5612,8134,,
2020-05-10 00:00:00 UTC,5076,24159,,
2020-05-11 00:00:00 UTC,10737,45986,,
2020-05-12 00:00:00 UTC,9634,34975,,
2020-05-13 00:00:00 UTC,8283,34274,,
2020-05-14 00:00:00 UTC,7856,16105,,
2020-05-15 00:00:00 UTC,6633,45192,,
2020-05-16 00:00:00 UTC,5000,30719,,
2020-05-17 00:00:00 UTC,5588,18293,,
2020-05-18 00:00:00 UTC,9199,39802,,
2020-05-19 00:00:00 UTC,9283,20230,,
2020-05-20 00:00:00 UTC,8943,13203,,
2020-05-21 00:00:00 UTC,7707,25754,,
2020-05-22 00:00:00 UTC,6440,25394,,
2020-05-23 00:00:00 UTC,5673,36283,,
2020-05-24 00:00:00 UTC,5490,60976,,
2020-05-25 00:00:00 UTC,6719,44024,,
2020-05-26 00:00:00 UTC,10699,34597,,
2020-05-27 00:00:00 UTC,10599,19847,,
2020-05-28 00:00:00 UTC,10107,51729,,
2020-05-29 00:00:00 UTC,8853,63753,,
2020-05-30 00:00:00 UTC,6714,27775,,
2020-05-31 00:00:00 UTC,7120,62645,,
2020-06-01 00:00:00 UTC,13829,27463,,
2020-06-02 00:00:00 UTC,13647,17820,,
2020-06-03 00:00:00 UTC,12498,26336,,
2020-06-04 00:00:00 UTC,12787,27007,,
2020-06-05 00:00:00 UTC,9900,19374,,
2020-06-06 00:00:00 UTC,7269,15814,,
2020-06-07 00:00:00 UTC,9072,23808,,
2020-06-08 00:00:00 UTC,13673,56710,,
2020-06-09 00:00:00 UTC,13002,50461,,
2020-06-10 00:00:00 UTC,12617,55456,,
2020-06-11 00:00:00 UTC,11799,36464,,
2020-06-12 00:00:00 UTC,9486,11532,,
2020-06-13 00:00:00 UTC,7720,12535,,
2020-06-14 00:00:00 UTC,9198,47865,,
2020-06-15 00:00:00 UTC,15151,26343,,
2020-06-16 00:00:00 UTC,14359,60848,,
2020-06-17 00:00:00 UTC,13479,45228,,
2020-06-18 00:00:00 UTC,12516,50916,,
2020-06-19 00:00:00 UTC,10442,51425,,
2020-06-20 00:00:00 UTC,7482,63675,,
2020-06-21 00:00:00 UTC,7826,45988,,
2020-06-22 00:00:00 UTC,13887,45340,,
2020-06-23 00:00:00 UTC,14479,49389,,
2020-06-24 00:00:00 UTC,14993,31070,,
2020-06-25 00:00:00 UTC,13147,57733,,
2020-06-26 00:00:00 UTC,11232,48070,,
2020-06-27 00:00:00 UTC,8754,34228,,
2020-06-28 00:00:00 UTC,9798,10820,,
2020-06-29 00:00:00 UTC,16705,50762,,
2020-06-30 00:00:00 UTC,17070,57260,,
2020-07-01 00:00:00 UTC,13819,43796,,
2020-07-02 00:00:00 UTC,11005,25638,,
2020-07-03 00:00:00 UTC,9058,32587,,
2020-07-04 00:00:00 UTC,6818,62435,,
2020-07-05 00:00:00 UTC,8319,50911,,
2020-07-06 00:00:00 UTC,13541,55584,,
2020-07-07 00:00:00 UTC,12868,56834,,
2020-07-08 00:00:00 UTC,12280,19827,,
2020-07-09 00:00:00 UTC,11930,14170,,
2020-07-10 00:00:00 UTC,11089,33808,,
2020-07-11 00:00:00 UTC,7857,50412,,
2020-07-12 00:00:00 UTC,7929,41048,,
2020-07-13 00:00:00 UTC,12381,44810,,
2020-07-14 00:00:00 UTC,12396,54101,,
2020-07-15 00:00:00 UTC,12217,25800,,
2020-07-16 00:00:00 UTC,12096,24641,,
2020-07-17 00:00:00 UTC,10363,54856,,
2020-07-18 00:00:00 UTC,6910,30778,,
2020-07-19 00:00:00 UTC,8783,26297,,
2020-07-20 00:00:00 UTC,15976,29110,,
2020-07-21 00:00:00 UTC,13825,40689,,
2020-07-22 00:00:00 UTC,13153,14630,,
2020-07-23 00:00:00 UTC,11728,31680,,
2020-07-24 00:00:00 UTC,10512,45594,,
2020-07-25 00:00:00 UTC,7395,40236,,
2020-07-26 00:00:00 UTC,8182,38494,,
2020-07-27 00:00:00 UTC,14942,15874,,
2020-07-28 00:00:00 UTC,12980,13738,,
2020-07-29 00:00:00 UTC,12096,30283,,
2020-07-30 00:00:00 UTC,11107,60610,,
2020-07-31 00:00:00 UTC,10669,17463,,
2020-08-01 00:00:00 UTC,6904,19149,,
2020-08-02 00:00:00 UTC,8179,38632,,
2020-08-03 00:00:00 UTC,14910,61523,,
2020-08-04 00:00:00 UTC,12414,22722,,
2020-08-05 00:00:00 UTC,15892,30607,,
2020-08-06 00:00:00 UTC,17821,50564,,
2020-08-07 00:00:00 UTC,12794,64168,,
2020-08-08 00:00:00 UTC,8694,57325,,
2020-08-09 00:00:00 UTC,9534,13117,,
2020-08-10 00:00:00 UTC,13264,49863,,
2020-08-11 00:00:00 UTC,14649,16186,,
2020-08-12 00:00:00 UTC,14015,18296,,
2020-08-13 00:00:00 UTC,12649,51779,,
2020-08-14 00:00:00 UTC,11686,62494,,
2020-08-15 00:00:00 UTC,9192,53991,,
2020-08-16 00:00:00 UTC,9954,20271,,
2020-08-17 00:00:00 UTC,15601,19099,,
2020-08-18 00:00:00 UTC,14352,44928,,
2020-08-19 00:00:00 UTC,15049,63589,,
2020-08-20 00:00:00 UTC,15982,31673,,
2020-08-21 00:00:00 UTC,13083,63621,,
2020-08-22 00:00:00 UTC,9563,22162,,
2020-08-23 00:00:00 UTC,10474,14507,,
2020-08-24 00:00:00 UTC,19118,48731,,
2020-08-25 00:00:00 UTC,19355,64628,,
2020-08-26 00:00:00 UTC,17472,32530,,
2020-08-27 00:00:00 UTC,15265,16906,,
2020-08-28 00:00:00 UTC,13466,45916,,
2020-08-29 00:00:00 UTC,10712,18702,,
2020-08-30 00:00:00 UTC,10878,58284,,
2020-08-31 00:00:00 UTC,21570,35411,,
2020-09-01 00:00:00 UTC,19799,40518,,
2020-09-02 00:00:00 UTC,18924,29830,,
2020-09-03 00:00:00 UTC,16660,34384,,
2020-09-04 00:00:00 UTC,13363,28339,,
2020-09-05 00:00:00 UTC,9762,43973,,
2020-09-06 00:00:00 UTC,9963,19180,,
2020-09-07 00:00:00 UTC,13140,14805,,
2020-09-08 00:00:00 UTC,18049,18782,,
2020-09-09 00:00:00 UTC,24731,35714,,
2020-09-10 00:00:00 UTC,25766,44145,,
2020-09-11 00:00:00 UTC,15061,42491,,
2020-09-12 00:00:00 UTC,11161,23741,,
2020-09-13 00:00:00 UTC,12478,36367,,
2020-09-14 00:00:00 UTC,18003,53170,,
2020-09-15 00:00:00 UTC,17361,51265,,
2020-09-16 00:00:00 UTC,16692,61636,,
2020-09-17 00:00:00 UTC,16101,34238,,
2020-09-18 00:00:00 UTC,14405,15820,,
2020-09-19 00:00:00 UTC,10207,21322,,
2020-09-20 00:00:00 UTC,11843,56866,,
