,LAST_CLICK_DATE
0,9
1,12
2,11
3,8
4,1
5,11
6,11
7,11
8,9
9,10
10,3
11,7
12,6
13,8
14,7
15,6
16,3
17,5
18,7
19,9
20,9
21,2
22,1
23,2
24,12
25,9
26,3
27,6
28,9
29,1
30,8
31,8
32,1
33,5
34,10
35,5
36,9
37,2
38,1
39,6
40,6
41,10
42,2
43,10
44,1
45,3
46,11
47,5
48,11
49,5
50,4
51,3
52,12
53,4
54,8
55,12
56,8
57,4
58,7
59,5
60,4
61,7
62,10
63,11
64,3
65,12
66,4
67,6
68,1
69,6
70,7
71,10
72,4
73,5
74,2
75,1
76,8
77,1
78,3
79,2
80,3
81,10
82,11
83,6
84,3
85,4
86,8
87,8
88,1
89,1
90,7
91,8
92,2
93,12
94,10
95,10
96,5
97,8
98,7
99,11
100,11
101,5
102,12
103,7
104,6
105,3
106,3
107,12
108,10
109,5
110,9
111,7
112,2
113,2
114,8
115,12
116,3
117,1
118,10
119,9
120,2
121,5
122,6
123,4
124,3
125,6
126,8
127,4
128,12
129,4
130,9
131,4
132,11
133,9
134,2
135,9
136,9
137,6
138,5
139,6
140,8
141,5
142,7
143,2
144,4
145,2
146,2
147,12
148,9
149,7
150,12
151,12
152,5
153,7
154,11
155,10
156,1
157,4
158,11
159,10
160,6
161,12
162,3
163,7
164,10
165,11
166,4
