,LAST_CLICK_DAY
0,2
1,1
2,1
3,1
4,4
5,4
6,2
7,3
8,1
9,3
10,1
11,1
12,5
13,7
14,7
15,6
16,3
17,3
18,5
19,6
20,7
21,6
22,2
23,4
24,7
25,4
26,4
27,1
28,1
29,2
30,3
31,4
32,1
33,3
34,1
35,4
36,5
37,1
38,6
39,5
40,1
41,2
42,5
43,7
44,5
45,5
46,1
47,6
48,7
49,5
50,5
51,2
52,6
53,6
54,6
55,2
56,1
57,4
58,7
59,4
60,5
61,4
62,4
63,3
64,6
65,1
66,2
67,3
68,4
69,7
70,1
71,3
72,7
73,7
74,2
75,6
76,6
77,7
78,4
79,2
80,7
81,4
82,7
83,7
84,7
85,6
86,5
87,3
88,3
89,3
90,3
91,4
92,3
93,4
94,2
95,5
96,1
97,5
98,2
99,6
100,2
101,6
102,3
103,5
104,2
105,6
106,1
107,6
108,1
109,7
110,2
111,3
112,6
113,7
114,7
115,3
116,3
117,7
118,6
119,6
120,3
121,1
122,2
123,3
124,5
125,6
126,2
127,1
128,4
129,1
130,4
131,2
132,5
133,3
134,4
135,5
136,3
137,4
138,2
139,4
140,2
141,2
142,4
143,5
144,7
145,7
146,1
147,7
148,7
149,6
150,2
151,5
152,5
153,6
154,4
155,6
156,5
157,4
158,6
159,7
160,3
161,5
162,2
163,2
164,5
165,5
166,3
